review,actual_stars,predicted_stars,raw_response,valid_json,error
"We got here around midnight last Friday... the place was dead. However, they were still serving food and we enjoyed some well made pub grub. Service was friendly, quality cocktails were served, and the atmosphere is derived from an old Uno's, which certainly works for a sports bar. It being located in a somewhat commercial area, I can see why it's empty so late on a Friday. From what my friends tell me - this is a great spot for happy hour, and it stays relatively busy thru 10pm.

*UPDATE - Great patio for day-drinking on the weekends!",4.0,4.0,"[
  {
    ""review_id"": 6252,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4684,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 1731,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 4742,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 4521,
    ""predicted_stars"": 5
  }
]",True,
Brought a friend from Louisiana here.  She says that the crawfish etouffee here is the best she's had outside of Louisiana!,5.0,5.0,"[
  {
    ""review_id"": 6252,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4684,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 1731,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 4742,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 4521,
    ""predicted_stars"": 5
  }
]",True,
"Every friday, my dad and I eat here. We order the same thing... pizza wraps. they are good and fillng. iced tea hits the spot. Typical strip mall pizza.",3.0,3.0,"[
  {
    ""review_id"": 6252,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4684,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 1731,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 4742,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 4521,
    ""predicted_stars"": 5
  }
]",True,
"My husband and I were really, really disappointed with our experience at Coulter Infiniti.  We brought our 2006 G37 with barely 34,000 miles (and out of warranty) to have the moon roof looked at.  The moon roof wouldn't open or close, but you could hear the motor working.

After leaving the car there all day we get a call that the car needs a whole new moon roof track - which would cost over $3000.  We contacted their corporate office to attempt to get some or all of the cost covered, due to the fact that it's a big repair and the car  is barely out of warranty.  We were flat out denied.  Twic",1.0,1.0,"[
  {
    ""review_id"": 6252,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4684,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 1731,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 4742,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 4521,
    ""predicted_stars"": 5
  }
]",True,
"Love this place!  Was in phoenix 3 weeks for work.  Ate here 3 times.  The squid salad is amazing!  They also have sushi, bibimbap, and tons of other items.  Must try!",5.0,5.0,"[
  {
    ""review_id"": 6252,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4684,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 1731,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 4742,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 4521,
    ""predicted_stars"": 5
  }
]",True,
"This hotel is in a good location for getting to the sports venues downtown, the convention center or to just be in the heart of the city. Granted, it is about a 7 block walk to most of those places, but the lower price and FREE parking definitely make it worthwhile. I usually stay in Scottsdale when i am here for spring training, but I was here for a conference and walked to the convention center each day with no problems. It made sense to be downtown instead of Scottsdale. The hotel is clean, the rooms are nice and big and the free breakfast is decent. I did not visit the pool, so I cannot co",4.0,4.0,"[
  {
    ""review_id"": 6340,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 576,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 5202,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 6363,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 439,
    ""predicted_stars"": 1
  }
]",True,
"I love that this place has top seafood plates and choices. The services is hit and miss but once i went in with three friends and we sat at the sushi bar and they saw we weren't getting service they grabbed our order right away. Happy hour is good and drinks aren't expensive anyhow so drinkers celebrate! Cherry roll (i do it without sauce), octopus, anything with their eels, i love the quality of salmon as well. The best part is that FOOD IS SERVED TILL 2AM!!",4.0,4.0,"[
  {
    ""review_id"": 6340,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 576,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 5202,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 6363,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 439,
    ""predicted_stars"": 1
  }
]",True,
Awesome if you like ramen...even awesomer if you like boba tea!!!,4.0,5.0,"[
  {
    ""review_id"": 6340,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 576,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 5202,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 6363,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 439,
    ""predicted_stars"": 1
  }
]",True,
"Great place for a ""home office"" morning. One of my favorite places - indoor & outdoor seating. Always busy - they offer breakfast & lunch, their food is awesome! Very generous portions.",5.0,5.0,"[
  {
    ""review_id"": 6340,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 576,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 5202,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 6363,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 439,
    ""predicted_stars"": 1
  }
]",True,
"1 star for service, but the food is not ok :( they literally put 4 pieces of chicken on my taco. I let that go & figured was a mistake. When I went again, ordered different item & same result. Little to no meat. I will not be going back.",1.0,1.0,"[
  {
    ""review_id"": 6340,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 576,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 5202,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 6363,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 439,
    ""predicted_stars"": 1
  }
]",True,
"Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at all. Highlights: spinach and artichoke dip, onion rings, and tortilla soup. Total tab was only $160 for the whole group.",4.0,5.0,"[
  {
    ""review_id"": 2750,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 7487,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5272,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5653,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 3999,
    ""predicted_stars"": 5
  }
]",True,
